TRADEDATE,SECID,CLOSE,50MA
2023-07-18,IMOEX,2954.52,2742.57
2023-07-19,IMOEX,2943.43,2750.89
2023-07-20,IMOEX,2917.48,2758.27
2023-07-21,IMOEX,2923.54,2764.84
2023-07-24,IMOEX,2937.47,2772.28
2023-07-25,IMOEX,2975.36,2779.57
2023-07-26,IMOEX,2970.42,2786.3
2023-07-27,IMOEX,2987.85,2793.37
2023-07-28,IMOEX,3008.61,2800.88
2023-07-31,IMOEX,3073.5,2809.83
2023-08-01,IMOEX,3093.64,2819.04
2023-08-02,IMOEX,3106.46,2828.33
2023-08-03,IMOEX,3147.8,2838.19
2023-08-04,IMOEX,3092.44,2847.04
2023-08-07,IMOEX,3084.08,2855.08
2023-08-08,IMOEX,3085.31,2862.15
2023-08-09,IMOEX,3099.52,2870.16
2023-08-10,IMOEX,3148.86,2878.79
2023-08-11,IMOEX,3155.51,2887.46
2023-08-14,IMOEX,3131.0,2895.69
2023-08-15,IMOEX,3115.25,2904.11
2023-08-16,IMOEX,3049.46,2911.48
2023-08-17,IMOEX,3059.02,2918.76
2023-08-18,IMOEX,3111.22,2926.8
2023-08-21,IMOEX,3139.93,2935.43
2023-08-22,IMOEX,3164.25,2943.57
2023-08-23,IMOEX,3146.2,2951.19
2023-08-24,IMOEX,3137.37,2957.94
2023-08-25,IMOEX,3157.33,2965.07
2023-08-28,IMOEX,3198.72,2972.74
2023-08-29,IMOEX,3211.36,2980.89
2023-08-30,IMOEX,3212.68,2988.76
2023-08-31,IMOEX,3227.99,2997.0
2023-09-01,IMOEX,3231.35,3005.73
2023-09-04,IMOEX,3268.97,3015.97
2023-09-05,IMOEX,3264.43,3025.72
2023-09-06,IMOEX,3245.47,3035.01
2023-09-07,IMOEX,3169.07,3042.47
2023-09-08,IMOEX,3142.88,3049.38
2023-09-11,IMOEX,3122.37,3055.95
2023-09-12,IMOEX,3165.92,3063.1
2023-09-13,IMOEX,3148.32,3069.97
2023-09-14,IMOEX,3139.49,3076.36
2023-09-15,IMOEX,3152.53,3082.77
2023-09-18,IMOEX,3135.18,3088.33
2023-09-19,IMOEX,3083.85,3092.8
2023-09-20,IMOEX,3068.15,3096.23
2023-09-21,IMOEX,3019.22,3098.9
2023-09-22,IMOEX,3049.07,3101.83
2023-09-25,IMOEX,3045.39,3104.38
2023-09-26,IMOEX,3051.91,3106.33
2023-09-27,IMOEX,3067.61,3108.82
2023-09-28,IMOEX,3108.07,3112.63
2023-09-29,IMOEX,3133.26,3116.82
2023-10-02,IMOEX,3132.33,3120.72
2023-10-03,IMOEX,3143.88,3124.09
2023-10-04,IMOEX,3134.25,3127.37
2023-10-05,IMOEX,3131.76,3130.24
2023-10-06,IMOEX,3144.89,3132.97
2023-10-09,IMOEX,3174.02,3134.98
2023-10-10,IMOEX,3177.03,3136.65
2023-10-11,IMOEX,3194.12,3138.4
2023-10-12,IMOEX,3174.66,3138.94
2023-10-13,IMOEX,3192.33,3140.94
2023-10-16,IMOEX,3234.78,3143.95
2023-10-17,IMOEX,3247.15,3147.19
2023-10-18,IMOEX,3249.21,3150.18
2023-10-19,IMOEX,3255.16,3152.31
2023-10-20,IMOEX,3269.27,3154.58
2023-10-23,IMOEX,3263.68,3157.24
2023-10-24,IMOEX,3265.01,3160.23
2023-10-25,IMOEX,3265.28,3164.55
2023-10-26,IMOEX,3223.89,3167.85
2023-10-27,IMOEX,3224.18,3170.1
2023-10-30,IMOEX,3227.07,3171.85
2023-10-31,IMOEX,3200.97,3172.58
2023-11-01,IMOEX,3206.52,3173.79
2023-11-02,IMOEX,3197.22,3174.98
